S No,Zone,State,City,Name,Type,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Significance,Best Time to visit
273,North Eastern,Assam,Guwahati,Kamakhya Temple,Temple,4.6,0,Yes,Religious,All
274,North Eastern,Assam,Kaziranga,Kaziranga National Park,National Park,4.5,650,No,Wildlife,Morning
275,North Eastern,Assam,Guwahati,Umananda Island,Island,4.1,0,Yes,Nature,Morning
276,North Eastern,Assam,Sivasagar,Sivasagar Sivadol,Temple,4.7,0,No,Historical,All
277,North Eastern,Assam,Majuli,Majuli Island,River Island,4.7,0,No,Cultural,Morning
278,North Eastern,Assam,Manas,Manas National Park,National Park,4.6,500,No,Wildlife,Morning
279,North Eastern,Assam,Hajo,Hayagriva Madhava Temple,Temple,4.5,0,No,Religious,All
280,North Eastern,Assam,Guwahati,Pobitora Wildlife Sanctuary,Wildlife Sanctuary,4.4,500,Yes,Wildlife,All
281,North Eastern,Arunachal Pradesh,Tawang,Tawang Monastery,Monastery,4.7,0,No,Religious,Morning
282,North Eastern,Tripura,Agartala,Ujjayanta Palace,Palace,4.5,10,Yes,Historical,All
283,North Eastern,Tripura,Dumboor,Dumboor Lake,Lake,4.5,0,No,Nature,Morning
284,North Eastern,Tripura,Unakoti,Unakoti Rock Carvings,Rock Carvings,4.5,20,No,Historical,Morning
285,Central,Chhattisgarh,Bastar,Chitrakote Falls,Waterfall,4.6,0,No,Nature,Morning
286,North Eastern,Nagaland,Dzükou Valley,Dzükou Valley,Valley,4.7,0,No,Trekking,Afternoon
287,Southern,Puducherry,Puducherry,Promenade Beach,Beach,4.5,0,Yes,Recreational,Morning
288,Southern,Puducherry,Auroville,Auroville,Township,4.1,0,Yes,Cultural,All
289,Southern,Puducherry,Puducherry,Paradise Beach,Beach,4.5,200,Yes,Recreational,Morning
290,Southern,Andaman and Nicobar Islands,Port Blair,Cellular Jail,Landmark,4.7,30,Yes,Historical,Afternoon
291,Southern,Andaman and Nicobar Islands,Havelock Island,Radhanagar Beach,Beach,4.8,0,No,Nature,Morning
292,Southern,Andaman and Nicobar Islands,Neil Island,Bharatpur Beach,Beach,4.5,0,No,Nature,Morning
293,Southern,Andaman and Nicobar Islands,Baratang Island,Limestone Caves,Natural Feature,4.4,250,No,Nature,Morning
294,Western,Daman and Diu,Diu,Naida Caves,Cave,4.5,0,No,Nature,Afternoon
295,Western,Daman and Diu,Diu,Diu Fort,Fort,4.6,0,No,Historical,Afternoon
296,Eastern,Jharkhand,Deoghar,Baba Baidyanath Temple,Temple,4.7,0,Yes,Religious,All
297,Eastern,Jharkhand,Ranchi,Pahari Mandir,Temple,4.6,0,Yes,Religious,All
298,Eastern,Bihar,Bodh Gaya,Mahabodhi Temple,Temple,4.7,0,Yes,Religious,All
299,Eastern,Bihar,Patna,Sanjay Gandhi Biological Park,Zoo,4.3,30,Yes,Wildlife,All
300,Eastern,Bihar,Patna,Takhat Shri Harimandir Ji Patna Sahib,Gurudwara,4.7,0,Yes,Religious,All
301,Eastern,Bihar,Patna,Budhha Smriti Park,Park,4.4,10,Yes,Cultural,All
302,Northern,Haryana,Gurugram,Kingdom of Dreams,Entertainment,4.4,1100,Yes,Entertainment,Afternoon
303,Northern,Haryana,Gurugram,Ambience Mall,Mall,4.6,0,Yes,Shopping,Afternoon
304,Northern,Haryana,Gurugram,DLF CyberHub,Commercial Complex,4.7,0,Yes,Entertainment,Afternoon
305,Northern,Delhi,New Delhi,Gurudwara Bangla Sahib,Gurudwara,4.8,0,Yes,Religious,All
306,Northern,Uttarakhand,Kedarnath,Kedarnath,Temple,4.8,0,No,Religious,All
307,Central,Uttar Pradesh,Noida,DLF Mall of India,Mall,4.6,0,Yes,Shopping,All
308,Central,Uttar Pradesh,Greater Noida,The Grand Venice Mall,Mall,4.2,0,Yes,Shopping,All
309,Southern,Karnataka,Bengaluru,Wonderla Amusement Park,Amusement Park,4.5,890,Yes,Entertainment,All
310,Eastern,Odisha,Bhubaneswar,Nandankanan Zoological Park,Zoo,4.4,50,Yes,Wildlife,Afternoon
311,Southern,Karnataka,Bengaluru,Orion Mall,Mall,4.5,0,Yes,Shopping,All
312,Southern,Telangana,Hyderabad,Inorbit Mall Cyberabad,Mall,4.5,0,Yes,Shopping,All
313,Northern,Delhi,New Delhi,Jama Masjid,Mosque,4.5,0,Yes,Historical,All
314,Southern,Tamil Nadu,Rameswaram,Ramanathaswamy Temple,Temple,4.7,0,Yes,Religious,All
315,Central,Uttar Pradesh,Greater Noida,Buddh International Circuit,Race Track,4.6,1500,Yes,Sports,All
316,Central,Uttar Pradesh,Lucknow,Phoenix Palassio,Mall,4.6,0,Yes,Shopping,All
317,Southern,Kerala,Kochi,LuLu International Shopping Mall,Mall,4.6,0,Yes,Shopping,All
318,Northern,Delhi,New Delhi,Rail Museum,Museum,4.4,50,Yes,Cultural,Morning
319,North Eastern,Meghalaya,Cherrapunji,Living Root Bridge,Natural Feature,4.6,0,No,Nature,Morning
320,Western,Gujarat,Gandhinagar,Akshardham,Temple,4.6,0,Yes,Religious,All
321,Central,Uttar Pradesh,Agra,Agra Fort,Fort,4.5,40,Yes,Historical,Afternoon
322,Central,Madhya Pradesh,Bhopal,Madhya Pradesh Tribal Museum,Museum,4.7,10,Yes,Cultural,All
323,Northern,Rajasthan,Jaipur,City Palace,Palace,4.4,200,Yes,Historical,Morning
324,Northern,Rajasthan,Jaipur,Albert Hall Museum,Museum,4.5,200,Yes,Historical,All
