Hotel_Name,Hotel_Rating,City,Hotel_Price,Feature
"Holiday Inn Resort Goa, an IHG Hotel",4.6,goa,11934.0,"5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Beach access"
Agonda Paradise Beach Huts,4.2,goa,4200.0,"Sleeps 9,3 bedrooms,Air conditioning,Fireplace,Cable TV,Paid parking,Free Wi-Fi,No beach access,No crib"
Pitruchaya Sea View Cottages by Vyom Trails,4.1,goa,1617.0,"0,0,0,0,0,0,0,0,0"
The LaLiT Golf & Spa Resort Goa,4.4,goa,11855.0,"5-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa"
"Whoopers Boutique Hotel, Anjuna",4.9,goa,1612.0,"0,0,0,0,0,0,0,0,0"
"The Hosteller Goa, Candolim",4.7,goa,1315.0,"Free Wi-Fi,Free parking,Pool,Air conditioning,Breakfast,0,0,0,0"
Tropical Bay,3.8,goa,1344.0,"Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Bar,Kitchen,Kid-friendly,0"
Cola Goa Beach Resort,4.3,goa,12744.0,"Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Spa,Beach access,Bar"
Blue Lagoon Resort | Room & Restaurant,3.9,goa,4487.0,"Villa,Sleeps 8,3 bedrooms,Fireplace,Paid parking,Free Wi-Fi,No air conditioning,No crib,No elevator"
Radisson Blu Resort Goa Cavelossim Beach,4.4,goa,15898.0,"5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa"
"Vivanta Goa, Miramar",4.5,goa,11788.0,"5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Pet-friendly,Fitness center,Restaurant,Room service"
Mayfair on Sea,4.5,goa,10620.0,"0,0,0,0,0,0,0,0,0"
"The Zuri White Sands, Goa Resort & Casino",4.4,goa,16795.0,"5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa"
The Queeny,3.4,goa,1435.0,"3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service"
"Holiday Inn Goa Candolim, an IHG Hotel",4.7,goa,15503.0,"5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service"
"Taj Holiday Village Resort and Spa, Goa",4.7,goa,26550.0,"5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa"
ibis Mumbai Vikhroli,4.5,mumbai,7392.0,"Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Fitness center,Restaurant,Room service,Airport shuttle"
The Lalit Mumbai,4.4,mumbai,14278.0,"5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa"
JW Marriott Mumbai Juhu,4.6,mumbai,5725.0,"5-star hotel,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Breakfast,Beach access"
Empire Royale Hotel,4.4,mumbai,1582.0,"3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Restaurant,Kitchen,Full-service laundry,0"
"The Taj Mahal Palace, Mumbai",4.7,mumbai,33021.0,"5-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Hot tub,Air conditioning,Fitness center,Spa"
Grand Hyatt Mumbai Hotel & Residences,4.5,mumbai,14025.0,"5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Pet-friendly,Fitness center"
Shahana Guest House,3.1,mumbai,635.0,"2-star hotel,Breakfast,Free Wi-Fi,Air conditioning,Full-service laundry,0,0,0,0"
SAINA RESORT,3.6,mumbai,5082.0,"3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Accessible,Kid-friendly"
Stay Villa Dormitory (for Male and Female),5.0,mumbai,952.0,"Bungalow,Sleeps 28,28 bedrooms,7 bathrooms,Air conditioning,Kid-friendly,Kitchen,Smoke-free,No fitness center"
Hotel Milan International,3.9,mumbai,1389.0,"Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,Accessible"
Gagal Home BKC Suite | Rooms & Caretaker,3.7,mumbai,4208.0,"Sleeps 4,2 bedrooms,Air conditioning,Elevator,Fireplace,Kitchen,Paid parking,Free Wi-Fi,No crib"
Qubestay Airport Capsule Hotel And Hostel,4.1,mumbai,1334.0,"Free breakfast,Free Wi-Fi,Air conditioning,Restaurant,Full-service laundry,Kid-friendly,0,0,0"
"Ginger Mumbai, Goregaon",4.0,mumbai,4031.0,"Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,0"
The Lalit Mumbai,4.4,mumbai,11101.0,"5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa"
Royal Palms Villas with Private Pool,4.0,mumbai,20536.0,"Free Wi-Fi,Paid parking,Pool,Spa,Kitchen,Full-service laundry,0,0,0"
The Leela Mumbai - Resort Style Business Hotel,4.5,mumbai,11210.0,"5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa"
Hotel Nest N Rest - Mumbai,4.4,mumbai,1116.0,"Pool,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,0,0,0"
Novotel Mumbai Juhu Beach,4.3,mumbai,11785.0,"5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Fitness center,Beach access"
Airport inn residency,3.7,mumbai,1109.0,"3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry"
Courtyard by Marriott Mumbai International Airport,4.4,mumbai,11103.0,"4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar"
JW Marriott Mumbai Sahar,4.6,mumbai,12963.0,"5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar"
The Westin Mumbai Garden City,4.5,mumbai,12963.0,"5-star hotel,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,Breakfast"
"Holiday Inn Mumbai International Airport, an IHG Hotel",4.5,mumbai,10619.0,"4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar"
Novotel Mumbai Juhu Beach,4.3,mumbai,11800.0,"5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Fitness center,Beach access"
Fairfield by Marriott Lucknow,4.3,lucknow,4816.0,"4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Bar,Restaurant,Room service"
Novotel Lucknow Gomti Nagar,4.5,lucknow,6551.0,"5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Fitness center,Bar"
Townhouse 1166 Bsa Townhouse,3.7,lucknow,1296.0,"Apartment,Sleeps 3,1 bedroom,Free parking,Free Wi-Fi,No air conditioning,No airport shuttle,No beach access,No elevator"
Hyatt Regency Lucknow,4.4,lucknow,4480.0,"5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar"
Fairfield by Marriott Lucknow,4.3,lucknow,4814.0,"4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Bar,Restaurant,Room service"
Radisson Lucknow City Center,4.3,lucknow,4189.0,"3-star hotel,Breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Fitness center,Spa,Bar"
Taj Mahal Lucknow,4.6,lucknow,10936.0,"5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar"
The Regnant,4.2,lucknow,3892.0,"Breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,Room service"
Hilton Garden Inn Lucknow,4.3,lucknow,5663.0,"4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant"
Ginger Lucknow,4.0,lucknow,2664.0,"3-star hotel,Free Wi-Fi,Paid parking,Air conditioning,Fitness center,Breakfast,Full-service laundry,Kid-friendly,0"
DCorbiz Hotel & Restaurant,4.0,lucknow,2108.0,"3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry"
Hotel Aryan,3.8,lucknow,587.0,"2-star hotel,Free Wi-Fi,Room service,Kitchen,Full-service laundry,Kid-friendly,0,0,0"
Hotel Golden Orchid,4.0,lucknow,2218.0,"3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Room service,Kitchen,Airport shuttle,Full-service laundry"
Fortune Park BBD - Hotel in Lucknow,4.3,lucknow,7197.0,"4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar"
Hotel Millenia Regency Lucknow,4.2,lucknow,2814.0,"Free breakfast,Free parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,Kid-friendly"
Golden Tulip Lucknow,4.2,lucknow,7271.0,"4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar"
The Grand Radiant-3 Star Hotel in Lucknow,4.0,lucknow,2453.0,"4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Airport shuttle"
Comfort Inn,4.1,lucknow,3394.0,"3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service"
"lebua Lucknow, Saraca Estate",4.3,lucknow,7621.0,"4-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service"
Comfort Hotel Vista,4.6,lucknow,6160.0,"3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry"
Hilton Garden Inn Lucknow,4.3,lucknow,5664.0,"4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant"
The Park Hotel,4.4,kolkata,7295.0,"5-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Hot tub,Air conditioning,Fitness center,Spa"
"The Oberoi Grand, Kolkata",4.4,kolkata,4534.0,"5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa"
"The Oberoi Grand, Kolkata",4.4,kolkata,6048.0,"5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa"
The Elite Apartment Hotel,4.7,kolkata,784.0,"3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Restaurant,Kitchen,Airport shuttle"
Golden Parkk Hotel,4.0,kolkata,3790.0,"3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Spa,Bar,Restaurant,Room service"
Aristro Club,4.0,kolkata,1344.0,"3-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Restaurant,Room service"
The Panash (Hotel and Banquets),4.4,kolkata,1565.0,"Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,Accessible"
HOTEL ORCHID INN,4.2,kolkata,1027.0,"Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Full-service laundry,Kid-friendly,0,0"
Bubble Beds Kolkata,4.3,kolkata,862.0,"2-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Kitchen,Full-service laundry,Business center"
Hotel Platinum,3.9,kolkata,1464.0,"3-star hotel,Free breakfast,Wi-Fi,Pool,Air conditioning,Pet-friendly,Restaurant,Kitchen,Full-service laundry"
Aster Guest House Kolkata,4.0,kolkata,2885.0,"Free breakfast,Free Wi-Fi,Air conditioning,Pet-friendly,Paid parking,Restaurant,Full-service laundry,Kid-friendly,0"
Hotel Radiant (Kolkata),4.0,kolkata,2731.0,"3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly"
Hotel Afsha,3.4,kolkata,1285.0,"Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Airport shuttle,Full-service laundry,Accessible,0"
backpackers park,4.0,kolkata,1103.0,"Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Kitchen,Full-service laundry,0,0"
Hotel Mayfair tower,4.0,kolkata,1680.0,"0,0,0,0,0,0,0,0,0"
"The Manor House, Kolkata",4.4,kolkata,3880.0,"Free breakfast,Free Wi-Fi,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,0"
Barsana Boutique Hotel,4.3,kolkata,3719.0,"3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Airport shuttle"
Hotel Pan Asia Continental (A Unit Of Sharda Resources Limited),4.1,kolkata,3074.0,"3-star hotel,Free breakfast,Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry"
Hotel Emirates,4.0,kolkata,3014.0,"2-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Airport shuttle"
The Aster Heritage,4.7,kolkata,2778.0,"Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Room service,Full-service laundry,Business center,Kid-friendly"
Calcutta Bungalow| Heritage Rooms,4.9,kolkata,8604.0,"Sleeps 13,6 bedrooms,Air conditioning,Fireplace,Paid parking,Free Wi-Fi,No crib,No elevator,No fitness center"
"BhubanBari historic house airy twin room w 2 baths, kitchen, garden terrace",5.0,kolkata,2856.0,"House,Sleeps 2,1 bedroom,2 bathrooms,Kid-friendly,Kitchen,Smoke-free,Free parking,No air conditioning"
Hotel Pawan Putra,4.1,kolkata,2436.0,"3-star hotel,Free breakfast,Free Wi-Fi,Pool,Air conditioning,Paid parking,Restaurant,Full-service laundry,0"
"FabHotel Orion Crystal - Hotel in Park Circus, Kolkata",4.1,kolkata,2652.0,"Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry"
The Elanza Hotel,4.1,bangalore,3968.0,"4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Airport shuttle"
"Country Inn & Suites by Radisson, Bengaluru Hebbal Road",4.1,bangalore,4480.0,"4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar"
Kadackal Farmhouse | Rooms & Pool,4.2,bangalore,4012.0,"Sleeps 9,3 bedrooms,Air conditioning,Fireplace,Cable TV,Paid parking,No crib,No elevator,No fitness center"
"Country Inn & Suites by Radisson, Bengaluru Hebbal Road",4.1,bangalore,4480.0,"4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar"
Kings Palace Manyata,3.2,bangalore,891.0,"Sleeps 8,3 bedrooms,Air conditioning,Elevator,Fireplace,Cable TV,Paid parking,Free Wi-Fi,No crib"
Prestige Residency,3.1,bangalore,609.0,"Free Wi-Fi,Breakfast,Room service,Kitchen,Full-service laundry,0,0,0,0"
Hotel TAP Paradise,3.4,bangalore,539.0,"1-star hotel,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Kitchen,Airport shuttle,Full-service laundry"
Regenta Inn Grand Koramangala,4.6,bangalore,3192.0,"Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Airport shuttle,Full-service laundry"
Guhantara,3.7,bangalore,4803.0,"3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Spa,Restaurant,Full-service laundry"
Palm Meadows Resort,4.5,bangalore,6745.0,"5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa"
Holiday Inn Express & Suites Bengaluru OMR,4.4,bangalore,4930.0,"4-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Fitness center,Restaurant,Room service,Airport shuttle"
Howard Johnson by Wyndham Bengaluru Hebbal,4.1,bangalore,4636.0,"4-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Pet-friendly,Fitness center,Spa"
The Signature Inn,3.8,bangalore,756.0,"3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly"
"Radisson Blu Hotel, Atria Bengaluru",4.4,bangalore,6300.0,"5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar"
SAP Golden Grande,4.0,bangalore,792.0,"3-star hotel,Free breakfast,Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry"
Royal Regency Lodge,3.8,bangalore,909.0,"3-star hotel,Free Wi-Fi,Free parking,Air conditioning,Breakfast,Room service,Airport shuttle,Full-service laundry,Accessible"
The Chancery Pavilion,4.1,bangalore,5376.0,"5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa"
Bangalore Gate Hotel & Conferences,4.1,bangalore,2804.0,"3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry"
"Holiday Inn Bengaluru Racecourse, an IHG Hotel",4.4,bangalore,6298.0,"5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service"
Gokulam Grand Hotel & Spa,4.3,bangalore,6228.0,"5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar"
"Taj Yeshwantpur, Bengaluru",4.5,bangalore,11800.0,"5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar"
Attide Boutique Hotel,4.2,bangalore,3863.0,"4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Bar,Restaurant,Room service"
Hyatt Place Hyderabad Banjara Hills,4.3,hyderabad,11209.0,"4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant"
Trident Hotel Hyderabad,4.5,hyderabad,10974.0,"5-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant"
The Wilderness Retreat,4.0,hyderabad,4928.0,"Free breakfast,Free Wi-Fi,Free parking,Pool,Pet-friendly,Restaurant,Room service,Full-service laundry,Kid-friendly"
Hyderabad Marriott Hotel & Convention Centre,4.4,hyderabad,7112.0,"5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar"
Citadel Hotels & Conventions By Vinnca,4.4,hyderabad,3640.0,"Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Airport shuttle,Full-service laundry,Accessible"
Hotel Rainbow Tower,4.5,hyderabad,1187.0,"Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry"
"Deccan Serai Hotel, HITEC CITY, HYDERABAD",4.2,hyderabad,3436.0,"3-star hotel,Breakfast,Free Wi-Fi,Paid parking,Air conditioning,Fitness center,Restaurant,Room service,Airport shuttle"
Taramati Baradari Resort,4.2,hyderabad,2520.0,"3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Kitchen"
The Grand Plaza Hotel,3.8,hyderabad,1240.0,"3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Accessible"
Taj Falaknuma Palace,4.7,hyderabad,46573.0,"5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant"
"Lemon Tree Hotel, Gachibowli, Hyderabad",4.2,hyderabad,4910.0,"4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa"
Hotel Shubham Palace - Karmanghat,4.3,hyderabad,2371.0,"3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Bar,Restaurant,Room service,Full-service laundry"
RESTEL STUDIO FLATS,4.2,hyderabad,2576.0,"Breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Restaurant,Room service,Kitchen,Airport shuttle"
Ellaa Hotel,4.8,hyderabad,4349.0,"4-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Hot tub,Air conditioning,Fitness center,Spa"
Zibe Hyderabad by GRT Hotels,4.5,hyderabad,4520.0,"3-star hotel,Free breakfast,Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry"
Ananya Eco Resorts,3.9,hyderabad,3808.0,"Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Kid-friendly,0,0,0"
Hotel Daspalla Hyderabad,4.2,hyderabad,5446.0,"4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar"
Capital O Jubilee Banjara Suites Near City Center Mall,3.2,hyderabad,1044.0,"Apartment,Sleeps 4,2 bedrooms,Air conditioning,Cable TV,Free Wi-Fi,No airport shuttle,No beach access,No elevator"
Luxury House in Hyderabad With Chef and Driver,5.0,hyderabad,10115.0,"Sleeps 6,3 bedrooms,4 bathrooms,Kitchen,Free parking,Free Wi-Fi,No air conditioning,No airport shuttle,No beach access"
"Taj Krishna, Hyderabad",4.5,hyderabad,11800.0,"5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar"
The Wilderness Retreat,4.0,hyderabad,5668.0,"Free breakfast,Free Wi-Fi,Free parking,Pool,Pet-friendly,Restaurant,Room service,Full-service laundry,Kid-friendly"
Treebo Trend South Avenue With Roadside View,3.8,pondicherry,9558.0,"3-star hotel,Free breakfast,Free Wi-Fi,Air conditioning,Bar,Restaurant,Room service,Airport shuttle,Full-service laundry"
The Bull Boutique Hotel,4.3,pondicherry,4129.0,"Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,Kid-friendly"
Aashikha Farm House,4.8,pondicherry,1974.0,"Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Room service,Kitchen,Airport shuttle"
HOMESTAY HOTEL LA VILLA PONDI CHÉRIE GUESTHOUSE ROOMS,4.3,pondicherry,904.0,"Breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Pet-friendly,Fitness center,Spa,Restaurant"
La Grrande Malar - The Boutique Hotel Pondicherry,4.4,pondicherry,2344.0,"Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,0"
Treebo Trend Grace Inn,4.2,pondicherry,9698.0,"3-star hotel,Free breakfast,Free Wi-Fi,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,Kid-friendly"
Hotel Bon Sejour,3.8,pondicherry,4415.0,"3-star hotel,Free breakfast,Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible"
Esparan Heritage,4.3,pondicherry,1990.0,"3-star hotel,Free breakfast,Free Wi-Fi,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,Kid-friendly"
La Maison Pondichéry - Heritage Guesthouse,4.4,pondicherry,3846.0,"Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Beach access,Restaurant,Room service,Airport shuttle,Full-service laundry"
Lotus Comfort- A Pondy Hotel,3.6,pondicherry,1734.0,"3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Airport shuttle,Full-service laundry,Kid-friendly"
Pleasant Inn,3.9,pondicherry,1016.0,"1-star hotel,Free breakfast,Wi-Fi,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,0"
A La Villa Creole,4.2,pondicherry,1659.0,"3-star hotel,Free breakfast,Wi-Fi,Air conditioning,Restaurant,Kitchen,Airport shuttle,Full-service laundry,Kid-friendly"
Hotel Le Royal Park,4.1,pondicherry,3415.0,"3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar"
Raj Residency,4.2,pondicherry,1593.0,"1-star hotel,Free breakfast,Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Kitchen,Airport shuttle"
Hotel Ram International,3.9,pondicherry,1939.0,"3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible"
Prince Park Farm House,3.9,pondicherry,2258.0,"3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry"
Hotel D'Inn,3.6,pondicherry,1190.0,"3-star hotel,Free breakfast,Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Kitchen,Airport shuttle"
Hotel Annamalai International,4.0,pondicherry,3724.0,"3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service"
Nomad House,4.5,pondicherry,1381.0,"Free Wi-Fi,Air conditioning,Kitchen,Full-service laundry,0,0,0,0,0"
Villa Sentosa,4.1,pondicherry,2168.0,"Free breakfast,Free Wi-Fi,Air conditioning,Restaurant,Kitchen,Airport shuttle,Full-service laundry,Kid-friendly,0"
Her View I Luxe Room & Kitchen,3.2,pondicherry,3306.0,"Sleeps 12,4 bedrooms,Air conditioning,Fireplace,Cable TV,Paid parking,Free Wi-Fi,No beach access,No crib"
Maison Petite Singapore,3.9,pondicherry,2521.0,"House,Sleeps 10,5 bedrooms,5 bathrooms,Air conditioning,Smoke-free,Free parking,Free Wi-Fi,No airport shuttle"
Hotel Gargee Grand | Best Hotel in Patna,4.1,patna,4956.0,"4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service"
HOTEL AMALFI GRAND,4.1,patna,4004.0,"4-star hotel,Breakfast,Free Wi-Fi,Paid parking,Pool,Restaurant,Room service,Kitchen,Airport shuttle"
Hotel Fortune..,3.6,patna,1200.0,"3-star hotel,Free Wi-Fi,Paid parking,Pool,Restaurant,Kitchen,Full-service laundry,Kid-friendly,0"
HOTEL AMALFI GRAND,4.1,patna,2935.0,"4-star hotel,Breakfast,Free Wi-Fi,Paid parking,Pool,Restaurant,Room service,Kitchen,Airport shuttle"
Hotel Bodhi Tree - Best Hotel in Patna | Hotels Near Patna junction Railway Station and Patna airport,4.1,patna,2438.0,"Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly"
"Lemon Tree Premier, Patna",4.1,patna,6472.0,"4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant"
The Grand Empire | Best 4 Star Luxury Hotel in Patna,4.0,patna,4662.0,"4-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Kitchen"
Hotel Gargee Grand | Best Hotel in Patna,4.1,patna,4956.0,"4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service"
Ghar Aangan Resort,3.9,patna,2902.0,"3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Restaurant,Room service"
